model,train_rmse,train_mae,train_r2,val_rmse,val_mae,val_r2
Linear_Regression,0.3081848291750379,0.22783742485779548,0.9999581528278968,10.817472907838063,10.755691972163126,0.9323265493135457
Ridge_Regression,0.31312877490613256,0.2294678093090589,0.9999567994217002,10.769906327078253,10.714062558243846,0.9329203880787983
Lasso_Regression,0.6472955297567047,0.486057407307478,0.9998153927221789,10.487963716326856,10.4060958671638,0.936386536490167
Decision_Tree,0.5108336321061817,0.2512918660643419,0.9998850252251639,58.441447594350585,48.49118762398431,-0.9751888220956189
Random_Forest,0.6421562124610153,0.3799173765362308,0.9998183125290581,59.71207360413408,49.470095535311835,-1.0620110847179687
Gradient_Boosting,0.039971565898938716,0.03147430429209614,0.9999992960433316,56.55057728918119,46.84932060685606,-0.8494422506640487
Neural_Network,942504.6033863929,675551.8055589907,-391390753.90376157,974109.3117449741,763791.6189598356,-548759533.7654213
