Date,Ticker,Actual_Close,Predicted_Close,Prediction_Error,Volume,Moving_Average_5,Moving_Average_20
2024-10-07,MSFT,409.5400085449219,391.9203178626305,-17.619690682291377,20919800,422.53599853515624,426.5311109754774
2024-10-08,MSFT,414.7099914550781,396.15134055335477,-18.558650901723354,19229300,420.1440002441406,425.48399963378904
2024-10-09,MSFT,417.4599914550781,399.62460982733955,-17.83538162773857,14974300,415.99200439453125,424.0345458984375
2024-10-10,MSFT,415.8399963378906,397.44365010703893,-18.39634623085169,13848400,414.79600219726564,423.2574996948242
2024-10-11,MSFT,416.3200073242187,397.6632318661599,-18.656775458058803,14144900,414.86199951171875,422.81153752253607
2024-10-14,MSFT,419.1400146484375,402.0462628658605,-17.093751782576987,16653100,414.7219970703125,422.31357029506137
2024-10-15,MSFT,418.739990234375,400.1525823786885,-18.58740785568648,18900200,414.7739990234375,421.91399943033855
2024-10-16,MSFT,416.1199951171875,396.9764551807703,-19.1435399364172,15508900,416.6940002441406,421.7406253814697
2024-10-17,MSFT,416.7200012207031,398.8503926456177,-17.869608575085408,14820000,417.5,421.5641174316406
2024-10-18,MSFT,418.1600036621094,400.0607373213878,-18.099266340721556,17145300,417.23200073242185,421.2616661919488
2024-10-21,MSFT,418.7799987792969,400.0903893497484,-18.689609429548455,14206100,417.4080017089844,421.0226311934622
2024-10-22,MSFT,427.510009765625,409.79962823904066,-17.710381526584342,25482200,417.7760009765625,420.8794998168945
2024-10-23,MSFT,424.6000061035156,406.4195997725818,-18.180406330933806,19654400,417.70399780273436,420.14299926757815
2024-10-24,MSFT,424.7300109863281,405.98582699198175,-18.744183994346372,13581600,419.4580017089844,420.0599990844727
2024-10-25,MSFT,428.1499938964844,410.7413622282154,-17.40863166826898,16899100,421.15400390625,419.6845001220703
2024-10-28,MSFT,426.5899963378906,408.53913320834494,-18.05086312954569,14882400,422.756005859375,419.35550079345705
2024-10-29,MSFT,431.9500122070313,413.31252223942676,-18.63748996760455,17644100,424.75400390625,419.3620010375977
2024-10-30,MSFT,432.5299987792969,414.6500233728512,-17.87997540644568,29749100,426.3160034179688,419.17650146484374
2024-10-31,MSFT,406.3500061035156,388.56336209686634,-17.786644006649283,53971000,427.20400390625,419.739501953125
2024-11-01,MSFT,410.3699951171875,393.3717612140607,-16.99823390312679,24230400,428.7900024414063,420.5095016479492
2024-11-04,MSFT,408.4599914550781,390.0080481904903,-18.45194326458784,19672300,425.11400146484374,420.00000152587893
2024-11-05,MSFT,411.4599914550781,394.1137209252564,-17.34627052982171,17626000,421.55800170898436,419.7155014038086
2024-11-06,MSFT,420.1799926757813,401.6060381422235,-18.57395453355781,26681800,417.9320007324219,419.66150054931643
2024-11-07,MSFT,425.4299926757813,407.2101015193782,-18.219891156403094,19901800,413.83399658203126,419.4990005493164
2024-11-08,MSFT,422.5400085449219,404.5988375378695,-17.94117100705239,16891400,411.36399536132814,419.63500061035154
2024-11-11,MSFT,418.010009765625,400.33230556286765,-17.677704202757354,24503300,415.17999267578125,420.11450042724607
2024-11-12,MSFT,423.0299987792969,404.9891994508199,-18.040799328476965,19401200,417.61399536132814,420.4255004882813
2024-11-13,MSFT,425.2000122070313,407.40595000405835,-17.794062202972952,21502200,419.5239990234375,420.36900024414064
2024-11-14,MSFT,426.8900146484375,408.0245319708026,-18.865482677634873,30246900,421.83800048828124,420.58350067138673
2024-11-15,MSFT,415.0,397.66950334904504,-17.330496650954956,28247600,422.8420043945313,421.0375015258789
2024-11-18,MSFT,415.760009765625,397.85398091678024,-17.906028848844755,24727000,423.1340087890625,421.54600219726564
2024-11-19,MSFT,417.7900085449219,399.4683028967497,-18.321705648172156,18133500,421.6260070800781,421.3880020141602
2024-11-20,MSFT,415.489990234375,396.79183231515026,-18.69815791922474,19191700,421.17600708007814,421.23700256347655
2024-11-21,MSFT,412.8699951171875,395.0662171634956,-17.803777953691906,20780200,420.1280090332031,420.7510025024414
2024-11-22,MSFT,417.0,398.9640198290141,-18.03598017098591,24814600,418.1860046386719,420.2955017089844
2024-11-25,MSFT,418.7900085449219,400.7814991915486,-18.008509353373256,27691100,415.3820007324219,419.70250091552737
2024-11-26,MSFT,427.989990234375,410.0408796784763,-17.9491105558987,23458900,415.78200073242186,419.14500122070314
2024-11-27,MSFT,422.989990234375,405.4026317143044,-17.58735852007061,18332400,416.38800048828125,418.7550018310547
2024-11-29,MSFT,423.4599914550781,405.23988471824885,-18.22010673682928,16271900,418.42799682617186,418.5570007324219
2024-12-02,MSFT,430.9800109863281,413.26717474388283,-17.71283624244529,20207200,419.92799682617186,418.08000030517576
2024-12-03,MSFT,431.2000122070313,412.87121953411787,-18.328792672913437,18302000,422.04599609375,418.9354995727539
2024-12-04,MSFT,437.4200134277344,419.58975065288075,-17.830262774853622,26009400,424.8419982910156,419.96600036621095
2024-12-05,MSFT,442.6199951171875,424.4463952761896,-18.173599840997895,21697800,427.3239990234375,421.1030014038086
2024-12-06,MSFT,443.5700073242187,425.6011298320952,-17.96887749212351,18821000,429.2100036621094,422.40100250244143
2024-12-09,MSFT,446.0199890136719,427.5941789988869,-18.425810014784986,19144400,433.13600463867186,423.5230026245117
2024-12-10,MSFT,443.3299865722656,425.8661641655193,-17.463822406746317,18469500,437.1580078125,424.4300033569336
2024-12-11,MSFT,448.989990234375,430.71216434100614,-18.277825893368856,19200200,440.16600341796874,425.60400238037107
2024-12-12,MSFT,449.55999755859375,432.6673892902655,-16.892608268328274,20834800,442.5919982910156,426.8700012207031
2024-12-13,MSFT,447.2699890136719,429.16962325146517,-18.100365762206707,20177800,444.90599365234374,428.16800079345705
2024-12-16,MSFT,451.5899963378906,432.7278491624945,-18.862147175396103,23598800,446.293994140625,429.38600006103513
2024-12-17,MSFT,454.4599914550781,435.69577488214077,-18.764216572937357,22733500,447.03399047851565,430.4049987792969
2024-12-18,MSFT,437.3900146484375,420.23515891193335,-17.154855736504146,24444500,448.1479919433594,432.23449859619143
2024-12-19,MSFT,437.0299987792969,419.30652822191337,-17.723470557383507,22963700,450.3739929199219,434.16949768066405
2024-12-20,MSFT,436.6000061035156,419.1161425545447,-17.48386354897093,64263700,448.0539978027344,435.14949798583984
2024-12-23,MSFT,435.25,416.911167969441,-18.33883203055899,19152500,445.547998046875,436.22649841308595
2024-12-24,MSFT,439.3299865722656,420.8602654253474,-18.469721146918232,7164500,443.41400146484375,437.41299896240236
2024-12-26,MSFT,438.1099853515625,420.0410117907927,-18.06897356076979,8194200,440.1460021972656,438.3254989624023
2024-12-27,MSFT,430.5299987792969,412.0536584673341,-18.47634031196276,18117700,437.1200012207031,439.35249786376954
2024-12-30,MSFT,424.8299865722656,406.70977435424425,-18.12021221802138,13158700,437.2639953613281,439.8584976196289
2024-12-31,MSFT,421.5,403.9627223101602,-17.53727768983981,13246500,435.9639953613281,440.235498046875
2025-01-02,MSFT,418.5799865722656,400.941816684716,-17.638169887549623,16896500,433.6099914550781,440.3039978027344
2025-01-03,MSFT,423.3500061035156,405.4618066154642,-17.88819948805144,16662900,430.8599914550781,439.82999725341796
2025-01-06,MSFT,427.8500061035156,411.2689839587329,-16.581022144782708,20573600,426.7099914550781,439.19899597167966
2025-01-07,MSFT,422.3699951171875,405.23681469122357,-17.13318042596393,18139100,423.75799560546875,438.49549560546876
2025-01-08,MSFT,424.55999755859375,407.01634893466496,-17.54364862392879,15054600,423.2219970703125,437.75699615478516
