Date,Ticker,Actual_Close,Predicted_Close,Prediction_Error,Volume,Moving_Average_5,Moving_Average_20
2024-10-07,GOOGL,162.97999572753906,162.0382755064732,-0.9417202210658502,22463100,165.702001953125,164.09666781955295
2024-10-08,GOOGL,164.3800048828125,163.22309196391151,-1.1569129189009857,23072700,166.32400207519532,164.39300079345702
2024-10-09,GOOGL,161.86000061035156,160.76064499227638,-1.0993556180751796,31181800,165.75,164.2645457874645
2024-10-10,GOOGL,162.0800018310547,161.0001774784323,-1.0798243526223814,14144100,165.22799987792968,164.2741673787435
2024-10-11,GOOGL,163.24000549316406,162.11610333671075,-1.1239021564533118,15344300,164.4279998779297,164.08846224271335
2024-10-14,GOOGL,164.9600067138672,163.8896705550411,-1.0703361588260805,19016100,163.6720001220703,163.94500078473772
2024-10-15,GOOGL,165.4600067138672,164.43888309396638,-1.0211236199008056,20247200,162.9080017089844,163.89800109863282
2024-10-16,GOOGL,165.16000366210938,164.0026559731212,-1.1573476889881817,16406000,163.30400390625,163.96437644958496
2024-10-17,GOOGL,162.92999267578125,161.92840621042774,-1.0015864653535118,21453400,163.52000427246094,164.0523547004251
2024-10-18,GOOGL,163.4199981689453,162.3854977791116,-1.0345003898337097,19757700,164.1800048828125,164.113890753852
2024-10-21,GOOGL,164.07000732421875,162.9374689903099,-1.1325383339088546,20946500,164.35000305175782,164.0515803286904
2024-10-22,GOOGL,165.13999938964844,164.00497974413855,-1.1350196455098853,16568100,164.38600158691406,164.02000122070314
2024-10-23,GOOGL,162.77999877929688,161.72859083398535,-1.0514079453115244,18280500,164.20800170898437,164.1310012817383
2024-10-24,GOOGL,162.72000122070312,161.5137794369905,-1.2062217837126354,22412500,164.1440002441406,164.27350158691405
2024-10-25,GOOGL,165.27000427246094,164.12808829549147,-1.1419159769694716,19828900,163.66799926757812,164.3380012512207
2024-10-28,GOOGL,166.72000122070312,165.43939191952765,-1.280609301175474,32138600,163.6260009765625,164.3375015258789
2024-10-29,GOOGL,169.67999267578125,168.48076942651124,-1.1992232492700055,42169000,163.99600219726562,164.40350189208985
2024-10-30,GOOGL,174.4600067138672,173.55327347481176,-0.906733239055427,68890800,164.5260009765625,164.4470016479492
2024-10-31,GOOGL,171.11000061035156,170.23021456556063,-0.8797860447909329,44769000,165.43399963378906,164.58150100708008
2024-11-01,GOOGL,171.2899932861328,170.1292778248287,-1.1607154613041075,31796500,167.77000122070314,165.01150131225586
2024-11-04,GOOGL,169.24000549316406,168.05834667834384,-1.1816588148202243,21492700,169.4480010986328,165.27400131225585
2024-11-05,GOOGL,169.74000549316406,168.60530760192356,-1.1346978912405064,18242100,170.6519989013672,165.48550109863282
2024-11-06,GOOGL,176.50999450683594,175.29893306692864,-1.2110614399072972,33695500,171.15599975585937,165.79850158691406
2024-11-07,GOOGL,180.75,179.46681117936572,-1.2831888206342796,25352900,171.16800231933593,166.06650161743164
2024-11-08,GOOGL,178.35000610351562,177.18889613011936,-1.1611099733962646,22006200,171.5779998779297,166.79900131225585
2024-11-11,GOOGL,180.3500061035156,179.0633703681095,-1.2866357354060938,17450400,173.50599975585936,167.7325012207031
2024-11-12,GOOGL,181.6199951171875,180.33660005493573,-1.2833950622517705,25134900,174.91800231933593,168.4880012512207
2024-11-13,GOOGL,178.8800048828125,177.68252741129692,-1.1974774715155831,23184000,177.14000244140624,169.25750122070312
2024-11-14,GOOGL,175.5800018310547,174.3885288376237,-1.1914729934309776,31007500,179.51600036621093,170.06550064086915
2024-11-15,GOOGL,172.49000549316406,171.25731350340808,-1.2326919897559776,32504600,179.99000244140626,170.7515007019043
2024-11-18,GOOGL,175.3000030517578,174.06688863759592,-1.2331144141618893,20135300,178.95600280761718,171.38400115966797
2024-11-19,GOOGL,178.1199951171875,176.85386067649327,-1.2661344406942305,23434900,177.78400268554688,171.8375015258789
2024-11-20,GOOGL,175.97999572753906,174.6749860795881,-1.3050096479509534,18997100,176.7740020751953,172.39900131225585
2024-11-21,GOOGL,167.6300048828125,166.31686846119487,-1.313136421617628,59734400,176.07400207519532,173.04800109863282
2024-11-22,GOOGL,164.75999450683594,163.63634571703219,-1.1236487898037524,38604600,175.49400024414064,173.70800094604493
2024-11-25,GOOGL,167.64999389648438,166.57319658731353,-1.0767973091708427,33135300,173.90400085449218,173.9535011291504
2024-11-26,GOOGL,169.1199951171875,168.01427109376894,-1.10572402341856,20486700,172.35799865722657,173.92800064086913
2024-11-27,GOOGL,169.22999572753906,168.05697580489812,-1.1730199226409468,19266500,170.82799682617187,173.9745002746582
2024-11-29,GOOGL,168.9499969482422,167.70820063082905,-1.241796317413133,14257200,169.0279968261719,173.9465003967285
2024-12-02,GOOGL,171.49000549316406,170.26658092380097,-1.2234245693630896,23789100,167.67799682617186,173.68499984741212
2024-12-03,GOOGL,171.33999633789062,170.2031472772553,-1.1368490606353134,22248700,167.9419952392578,173.57699966430664
2024-12-04,GOOGL,174.3699951171875,173.11253134583183,-1.257463771355674,31615100,169.28799743652343,173.5870002746582
2024-12-05,GOOGL,172.63999938964844,171.52865685856383,-1.1113425310846026,21356200,170.0259979248047,173.69199981689454
